I like playing ball.	J’aime jouer au ballon.
My cat is black and white.	Mon chat est noir et blanc.
I eat apples every day.	Je mange des pommes tous les jours.
It is nice weather today.	Il fait beau aujourd’hui.
I have a big sister.	J’ai une grande soeur.
My favourite book is Harry Potter.	Mon livre préféré est Harry Potter.
I am happy to go to school.	Je suis content d’aller à l’école.
My father works in an office.	Mon père travaille dans un bureau.
My mother works very well.	Ma mère travaille très bien.
I am going to bed now.	Je vais me coucher maintenant.
I went to the beach yesterday.	Je suis allé à la plage hier.
My dog’s name is Max.	Mon chien s’appelle Max.
I like eating french fries.	J’aime manger des frites.
There’s a rainbow in the sky.	Il y a un arc-en-ciel dans le ciel.
My birthday is in June.	Mon anniversaire est en juin.
I am tired today.	Je suis fatigué aujourd’hui.
I like drawing flowers.	J’aime dessiner des fleurs.
My favourite show is Peppa Pig.	Mon émission préférée est Peppa Pig.
I want to become an astronaut when I grow up.	Je veux devenir un astronaute quand je serai grand.
I am happy when I am with my friends.	Je suis heureux quand je suis avec mes amis.
I am pleased to meet you.	Je suis content de vous rencontrer.
I like to watch action movies.	J'aime regarder des films d'action.
I want to travel abroad.	Je veux voyager à l'étranger.
I have a big family.	J'ai une grande famille.
I like to read science fiction books.	J'aime lire des livres de science-fiction.
I am passionate about music.	Je suis passionné par la musique.
I like to do outdoor sports.	J'aime faire du sport en plein air.
I was born in the summer.	Je suis né en été.
I have a brother and a sister.	J'ai un frère et une soeur.
I want to learn how to cook.	Je veux apprendre à cuisiner.
